Survey_Priority_ID,Order,Region,WMU,Budget,YearsSinceRevised,RevisedYearLast,TargetYrs,YearProjectedtobeFlown,EOMSD,2019_Priority,Comments,WMUlist.x,AMBI,BISH,MOGO,MOOS,MUDE,PRON,WAPT,WTDE,SL_num,Drawnum,speciesNum,quota,applicants,drawn,minPriority,maxPriority,medPriority,muPriority,drw_cde_list,spp_list,WMUlist.y,GL.Season_Cnt,SL.SeasonCnt,M_Biomass,F_Biomass,YOY_Biomass,Spplist,TotalKill,Total_Biomass,LicenceCount,WMUlist,IntervalFactor
48,22,RDNS,250,25,4,2020,7,2020,OPS,1,CWD Mandatory Zone,250,,,,1,1,,,1,4,4,2,316,2238,316,2,5,2,2,27|33|13|14,MOOS|MUDE,250,2,2,3479.032705,1391.207317,0,MUDE,56.49578714,4870.240022,4,250,7
49,23,RDNS,252,23,4,2020,7,2020,OPS,1,CWD Mandatory Zone,252,,,,1,1,,,1,4,4,2,211,1154,211,0,4,0,0,27|33|13|14,MOOS|MUDE,252,2,2,2784.079268,2252.173913,0,MUDE,61.4800106,5036.253181,6,252,7
50,24,RDNS,254,23,8,2016,7,2020,OPS,2,CWD Mandatory Zone,254,,,,1,1,,,1,4,4,2,633,2352,633,0,5,0,0,27|33|13|14,MOOS|MUDE,254,2,2,7270.783088,7541.614329,531.09375,MUDE,193.9281564,15343.49117,4,254,7
51,131,RDNS,256,23,5,2019,5,2024,EMSD,3,EMSD 2019; CWD Mandatory Zone,256,,,,1,1,,,1,4,4,2,250,1331,250,0,5,0,0,27|33|13|14,MOOS|MUDE,256,2,2,7402.78811,3446.896552,193.4482759,MUDE,130.6827061,11043.13294,4,256,5
52,94,RDNS,258,40,8,2016,5,2022,EMSD,2,CWD Mandatory Zone,258,,,,1,1,,,1,4,4,2,356,1733,356,1,4,1,1,27|33|13|14,MOOS|MUDE,258,2,2,5900.986123,4052.432432,151.6216216,MUDE,122.764292,10105.04018,4,258,5
53,95,RDNS,260,23,8,2016,5,2022,OPS,2,CWD Mandatory Zone,260,,,,1,1,,,1,4,4,2,280,1048,280,1,4,1,1,27|33|13|14,MOOS|MUDE,260,2,2,4625.351996,2240,0,MUDE,80.68791574,6865.351996,4,260,5
54,38,SSR,300,28.1,11,2013,5,2020,OPS,,,300,,,,1,,,1,,15,4,3,696,2077,517,0,13,0,0,33|13|14|21,MOOS|MUDE|WAPT,300,2,2,2850,5993.259146,0,MUDE,115.6179878,8843.259146,5,300,5
55,3,SSR,302,17.7,11,2013,5,2020,OPS,,,302,,1,,1,,,1,,5,4,3,382,1778,382,0,13,0,0,33|13|14|19,MOOS|MUDE|WAPT,302,3,3,28081.23193,24367.19996,1796.772358,MUDE|WAPT,289.2118895,54245.20424,4,302,5
56,4,SSR,303,4.2,22,2002,5,2020,OPS,,,303,,,,1,,,1,,3,2,2,30,144,30,2,7,2,2,33|19,MOOS|WAPT,303,1,1,0,3220,0,WAPT,14,3220,4,303,5
57,5,SSR,304,18.8,11,2013,5,2020,OPS,2,,304,,,,1,1,,1,1,5,4,3,1108,4125,1109,0,11,0,0,33|13|14|19,MOOS|MUDE|WAPT,304,3,3,59631.5835,47984.80161,1504.708249,MUDE|WAPT,792.7571312,109121.0934,4,304,5
58,6,SSR,305,10,11,2013,5,2020,OPS,2,"Budget was 18K, if flown as 304-310 superunit reduced",305,,,,1,1,,1,1,4,3,2,1153,4254,1154,0,5,0,0,13|14|19,MUDE|WAPT,305,3,3,61214.29985,52239.73777,2073.076453,MUDE|WAPT,869.5988403,115527.1141,3,305,5
